Var1,Var2
curvw,10
cgy,0.588610880971496
curvp,10
constelab,0.961292419496265
constepinf,0.658822716439798
constebeta,0.0762915636546224
cmaw,0.93644529232325
cmap,0.836916096008652
calfa,0.1
czcap,0.326742291555488
csadjcost,6.43694266165494
ctou,0.025
csigma,1.26515260346825
chabb,0.756297684565728
ccs,NaN
cinvs,NaN
cfc,1.58227824122208
cindw,0.527603655650798
cprobw,0.772312779093786
cindp,0.236882618819804
cprobp,0.574156936755122
csigl,2.61947055060352
clandaw,1.5
crdpi,NaN
crpi,1.84237127943766
crdy,0.139703164643858
cry,0.139142935146086
crr,0.874678369452266
crhoa,0.99103796992134
crhoas,NaN
crhob,0.364701433354049
crhog,0.988322840841211
crhols,NaN
crhoqs,0.588772262900023
crhoms,0.231377044268285
crhopinf,0.973732854720252
crhow,0.984252648993997
ctrend,0.504464071064847
cg,0.18
