Var1,Var2
curvw,10
cgy,0.582407050834059
curvp,10
constelab,1.38122445041022
constepinf,0.645020662012867
constebeta,0.281980955556147
cmaw,0.920263181029972
cmap,0.851246736652127
calfa,0.30273
czcap,0.409246104611178
csadjcost,6.42469839716129
ctou,0.025
csigma,1.19542540437479
chabb,0.794329277013656
ccs,NaN
cinvs,NaN
cfc,1.82405543258977
cindw,0.493090113296615
cprobw,0.771074167515687
cindp,0.251127118405916
cprobp,0.547102713693451
csigl,2.47296684934218
clandaw,1.5
crdpi,NaN
crpi,2.03447522125297
crdy,0.130243918881118
cry,0.14964001943205
crr,0.883025244889264
crhoa,0.974905672411418
crhoas,NaN
crhob,0.236915343579973
crhog,0.95359680753235
crhols,NaN
crhoqs,0.594890897494079
crhoms,0.218403186041432
crhopinf,0.96850055595359
crhow,0.974430657786547
ctrend,0.505747908062153
cg,0.18
