Var1,Var2
curvw,10
cgy,0.582782666024504
curvp,10
constelab,1.44762957825894
constepinf,0.617562037418965
constebeta,0.28240838755656
cmaw,0.918487715254487
cmap,0.853040615819497
calfa,0.30273
czcap,0.428394568839733
csadjcost,6.23730750512946
ctou,0.025
csigma,1.23181446118548
chabb,0.783801450124754
ccs,NaN
cinvs,NaN
cfc,1.81461514494196
cindw,0.488170575738636
cprobw,0.771042451339712
cindp,0.246430690367404
cprobp,0.554533873768218
csigl,2.45709896122772
clandaw,1.5
crdpi,NaN
crpi,2.01536732722623
crdy,0.136620515392558
cry,0.151691784122695
crr,0.880516240548188
crhoa,0.976302051875929
crhoas,NaN
crhob,0.242491427768232
crhog,0.954026074173792
crhols,NaN
crhoqs,0.599716062325208
crhoms,0.234510789599737
crhopinf,0.968771729994511
crhow,0.973456744795808
ctrend,0.505585145729173
cg,0.18
