Var1,Var2
curvw,10
cgy,0.646191363234803
curvp,10
constelab,1.19665483774267
constepinf,0.66653637893804
constebeta,0.228566603179262
cmaw,0.940880181570649
cmap,0.760422299081739
calfa,0.132831445869697
czcap,0.374054212649609
csadjcost,5.59606372468135
ctou,0.025
csigma,1.07534243622973
chabb,0.739536871617007
ccs,NaN
cinvs,NaN
cfc,1
cindw,0.577773270396551
cprobw,0.786731777978464
cindp,0.158636199888348
cprobp,0.77580153144484
csigl,3.0720426503395
clandaw,1.5
crdpi,NaN
crpi,1.87293871099467
crdy,0.196326530848504
cry,0.175314408956149
crr,0.851764781404521
crhoa,0.98049320426884
crhoas,NaN
crhob,0.302097281112246
crhog,0.969542319062253
crhols,NaN
crhoqs,0.581645514336793
crhoms,0.202496945877001
crhopinf,0.977858631997819
crhow,0.986520405500198
ctrend,0.504725949248821
cg,0.18
