Var1,Var2
curvw,10
cgy,0.10447282074505
curvp,10
constelab,1.19185173979978
constepinf,0.728868354199662
constebeta,0.128733627598363
cmaw,0.912182918485729
cmap,0.861031133815756
calfa,0.250336108714467
czcap,0.360726883464248
csadjcost,8.47971152802818
ctou,0.025
csigma,1.38312146020594
chabb,0.78930948464197
ccs,NaN
cinvs,NaN
cfc,2.00558004313641
cindw,0.498253085944607
cprobw,0.789369346331259
cindp,0.277859294407428
cprobp,0.554358242369128
csigl,2.72176982649279
clandaw,1.5
crdpi,NaN
crpi,1.9103788091417
crdy,0.130183316883194
cry,0.105075644022764
crr,0.880634408275446
crhoa,0.490365
crhoas,NaN
crhob,0.379892422046569
crhog,0.949711979444455
crhols,NaN
crhoqs,0.586885032059076
crhoms,0.240900901686097
crhopinf,0.972139842858185
crhow,0.969486349137806
ctrend,0.504317157583771
cg,0.18
