Var1,Var2
curvw,10
cgy,0.201146216952659
curvp,10
constelab,-0.0476857509355391
constepinf,0.47777067608664
constebeta,0.0971271933854718
cmaw,0.944023475345385
cmap,0.715457842555772
calfa,0.0926636299583985
czcap,0.163905863026868
csadjcost,6.09491439232153
ctou,0.025
csigma,1.23318373027128
chabb,0.532395765591728
ccs,NaN
cinvs,NaN
cfc,1
cindw,0.526375469818977
cprobw,0.844855322250552
cindp,0.228181876479697
cprobp,0.785409697497722
csigl,2.55399100143088
clandaw,1.5
crdpi,NaN
crpi,2.09607698453062
crdy,0.195979637946841
cry,0.128813498494043
crr,0.888264900176472
crhoa,0.99957271967861
crhoas,NaN
crhob,0.811604967531454
crhog,0.991211702505057
crhols,NaN
crhoqs,0.709145854261456
crhoms,0.258909897260628
crhopinf,0.970020207076756
crhow,0.978854647338662
ctrend,0.483323572785151
cg,0.18
