Var1,Var2
curvw,10
cgy,0.629522404215277
curvp,10
constelab,1.1784207430441
constepinf,0.658836887614604
constebeta,0.0815042424787615
cmaw,0.934029317958256
cmap,0.825433621189311
calfa,0.1
czcap,0.484785064825931
csadjcost,6.60124380082439
ctou,0.025
csigma,1.37270782502568
chabb,0.744048552358484
ccs,NaN
cinvs,NaN
cfc,1.53680485363569
cindw,0.535916238726429
cprobw,0.768837676103923
cindp,0.221177426389744
cprobp,0.566095413895601
csigl,2.26730875033643
clandaw,1.5
crdpi,NaN
crpi,1.86332299145963
crdy,0.163240490404547
cry,0.140246883442265
crr,0.868145589026621
crhoa,0.986054240842501
crhoas,NaN
crhob,0.269188904586363
crhog,0.977695286150839
crhols,NaN
crhoqs,0.588894649767284
crhoms,0.225241080592276
crhopinf,0.977955808601649
crhow,0.980376468542315
ctrend,0.50512033100847
cg,0.18
