Var1,Var2
curvw,10
cgy,0.101768227851475
curvp,10
constelab,1.3964338468789
constepinf,0.705614772785571
constebeta,0.280131371595508
cmaw,0.913497044886021
cmap,0.858880119283018
calfa,0.257465097022434
czcap,0.264756620666324
csadjcost,11.4637845273298
ctou,0.025
csigma,0.959602578795424
chabb,0.891892729818865
ccs,NaN
cinvs,NaN
cfc,2.11295641593862
cindw,0.538135037017697
cprobw,0.77787362127016
cindp,0.26614675418935
cprobp,0.518767369286511
csigl,3.53628252054793
clandaw,1.5
crdpi,NaN
crpi,1.95134066283382
crdy,0.0919206740726806
cry,0.104205327265269
crr,0.893286540282628
crhoa,0.490365
crhoas,NaN
crhob,0.508426336733904
crhog,0.950836065027913
crhols,NaN
crhoqs,0.534127410113372
crhoms,0.216941496552433
crhopinf,0.972928171516994
crhow,0.978143142469942
ctrend,0.504391779631754
cg,0.18
