Var1,Var2
labobs,1.32631181800318
robs,1.40342272125291
pinfobs,0.636466700805271
dy,0.511327099746232
dc,0.511327099746232
dinve,0.511327099746232
dw,0.511327099746232
ewma,0
epinfma,0
zcapf,0
rkf,0
kf,0
pkf,0
cf,0
invef,0
yf,0
labf,0
wf,0
rrf,0
mc,0
zcap,0
rk,0
k,0
pk,0
c,0
inve,0
y,0
lab,0
pinf,0
w,0
r,0
a,0
b,0
g,0
qs,0
ms,0
spinf,0
sw,0
kpf,0
kp,0
