Var1,Var2
curvw,10
cgy,0.621822352856508
curvp,10
constelab,1.1102608730003
constepinf,0.652203954097801
constebeta,0.120109364910262
cmaw,0.934121383743642
cmap,0.8231151969375
calfa,0.10091
czcap,0.444642854188262
csadjcost,6.30561006562546
ctou,0.025
csigma,1.28124819087785
chabb,0.749031778180721
ccs,NaN
cinvs,NaN
cfc,1.55786973390463
cindw,0.533767798211415
cprobw,0.763225636735808
cindp,0.220814052554949
cprobp,0.559715722301179
csigl,2.34584494285228
clandaw,1.5
crdpi,NaN
crpi,1.84455222937959
crdy,0.159135104395976
cry,0.13998138818031
crr,0.868247999900669
crhoa,0.986676326932245
crhoas,NaN
crhob,0.283613095992434
crhog,0.978260409579632
crhols,NaN
crhoqs,0.592165178469923
crhoms,0.233747661897292
crhopinf,0.975542697430209
crhow,0.982066368275753
ctrend,0.504868851151308
cg,0.18
