Var1,Var2
curvw,10
cgy,0.228921296764861
curvp,10
constelab,1.80257747299387
constepinf,0.696469723287123
constebeta,0.209130656138318
cmaw,0.930305367919964
cmap,0.889859401384264
calfa,0.314892586217056
czcap,0.936431553550084
csadjcost,9.09799410438065
ctou,0.025
csigma,1.66148737923042
chabb,0.655673071981425
ccs,NaN
cinvs,NaN
cfc,2.49015
cindw,0.485270012071801
cprobw,0.792589452908737
cindp,0.336698902422654
cprobp,0.618599428275127
csigl,1.17948196023653
clandaw,1.5
crdpi,NaN
crpi,1.5463447651149
crdy,0.151780031030656
cry,0.0916975280983509
crr,0.88002834589149
crhoa,0.974811305472917
crhoas,NaN
crhob,0.688076199879683
crhog,0.935774132209788
crhols,NaN
crhoqs,0.714770910870712
crhoms,0.246808736271683
crhopinf,0.955664390124894
crhow,0.974021572124437
ctrend,0.506282836261008
cg,0.18
