Var1,Var2
curvw,10
cgy,0.309066913864729
curvp,10
constelab,1.26887585991499
constepinf,0.644357643211925
constebeta,0.141845581865839
cmaw,0.921030940467367
cmap,0.865763307523511
calfa,0.226837184196613
czcap,0.590441433141009
csadjcost,7.6986120873705
ctou,0.025
csigma,1.29882168193355
chabb,0.817377159832327
ccs,NaN
cinvs,NaN
cfc,2.49015
cindw,0.48916714404028
cprobw,0.778397790631453
cindp,0.233865930184083
cprobp,0.533672656634136
csigl,2.32266668739904
clandaw,1.5
crdpi,NaN
crpi,1.92104933724372
crdy,0.135800641415457
cry,0.119559346485216
crr,0.892197598625265
crhoa,0.977937312015368
crhoas,NaN
crhob,0.21967030264161
crhog,0.955458727002637
crhols,NaN
crhoqs,0.609171639435312
crhoms,0.234858911010168
crhopinf,0.969138363751225
crhow,0.973180661522921
ctrend,0.505846165734184
cg,0.18
