Var1,Var2
curvw,10
cgy,0.598337371412731
curvp,10
constelab,1.77264495701737
constepinf,0.683199130232467
constebeta,0.239672515772393
cmaw,0.913428475056592
cmap,0.850994797692659
calfa,0.30273
czcap,0.482538310658166
csadjcost,6.79536494491517
ctou,0.025
csigma,1.48947164936586
chabb,0.750411675630077
ccs,NaN
cinvs,NaN
cfc,1.79328708171877
cindw,0.498484482332904
cprobw,0.770061257548136
cindp,0.26479052643832
cprobp,0.561044852433388
csigl,2.32836347818644
clandaw,1.5
crdpi,NaN
crpi,1.9176917663974
crdy,0.137814867612695
cry,0.13421917950914
crr,0.876517173071647
crhoa,0.976948822820102
crhoas,NaN
crhob,0.315498214498978
crhog,0.953939983836488
crhols,NaN
crhoqs,0.614807588678359
crhoms,0.240329439808692
crhopinf,0.968080640996194
crhow,0.971850228923135
ctrend,0.506206772390831
cg,0.18
