Var1,Var2
curvw,10
cgy,0.298173406066273
curvp,10
constelab,1.31130019217465
constepinf,0.653596952191866
constebeta,0.167455692463246
cmaw,0.916439071190681
cmap,0.857200977558564
calfa,0.247338411530579
czcap,0.653132012709206
csadjcost,7.56737680862722
ctou,0.025
csigma,1.29720330323585
chabb,0.811817686868972
ccs,NaN
cinvs,NaN
cfc,2.49015
cindw,0.494736361833606
cprobw,0.763087852334489
cindp,0.223366418136355
cprobp,0.528241364813844
csigl,2.01746238266635
clandaw,1.5
crdpi,NaN
crpi,1.91120154028055
crdy,0.137758815148557
cry,0.121611994220131
crr,0.885992683575521
crhoa,0.976137464912128
crhoas,NaN
crhob,0.220658459380023
crhog,0.955663922030318
crhols,NaN
crhoqs,0.624203631254029
crhoms,0.242758451137809
crhopinf,0.96467576999559
crhow,0.972064082582935
ctrend,0.505654091369525
cg,0.18
