Var1,Var2
curvw,10
cgy,0.565492039320787
curvp,10
constelab,1.33483450731514
constepinf,0.63893475272419
constebeta,0.282131101241307
cmaw,0.941679631252257
cmap,0.76455516355194
calfa,0.185839923309047
czcap,0.279516046116027
csadjcost,4.4678642997844
ctou,0.025
csigma,0.988430887626743
chabb,0.706582946262939
ccs,NaN
cinvs,NaN
cfc,1
cindw,0.55159669499001
cprobw,0.789406832823185
cindp,0.187575733278812
cprobp,0.780954179283588
csigl,3.13684884185639
clandaw,1.5
crdpi,NaN
crpi,1.96613947478266
crdy,0.20341868128934
cry,0.198935977290189
crr,0.862026115040338
crhoa,0.982878479276383
crhoas,NaN
crhob,0.354855895551918
crhog,0.969133015251823
crhols,NaN
crhoqs,0.586859418210659
crhoms,0.204778844627114
crhopinf,0.973290775178077
crhow,0.988056735019958
ctrend,0.504337021462203
cg,0.18
